"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Strobe Net Name","Eye-Mask Width, TdIVW_Total, [ps]","Eye-Mask Height, VdIVW_Total, [mV]","Voltage at Widest Eye Opening, Vcent, [mV]","Average Center Voltage, Vcent(pin_mid), [mV]","Output Delay Uncertainty, [ps]","Min Setup Time Measured, [ps]","Min Setup Time Margin, [ps]","Min Setup Time Margin with Output Delay Uncertainty, [ps]","Min Setup Time Trace Point, [ns]","Min Hold Time Measured, [ps]","Min Hold Time Margin, [ps]","Min Hold Time Margin with Output Delay Uncertainty, [ps]","Min Hold Time Trace Point, [ns]","VIHL_AC/2 Limit, [mV]","Min Peak Above Vcent(pin mid) [mV]","Min Peak Above Vcent(pin mid) Margin, [mV]","Min Peak Above Vcent(pin mid) Trace Point, [ns]","Min Peak Below Vcent(pin mid) [mV]","Min Peak Below Vcent(pin mid) Margin, [mV]","Min Peak Below Vcent(pin mid) Trace Point, [ns]","Min Voltage Above Eye-Mask [mV]","Min Voltage Above Eye-Mask Trace Point, [ns]","Min Voltage Below Eye-Mask [mV]","Min Voltage Below Eye-Mask Trace Point, [ns]","Min Pulse Width [ps]","Min Pulse Width Limit, TdIPW, [ps]","Min Pulse Width Margin, [ps]","Min Pulse Width Margin with Output Delay Uncertainty, [ps]","Min Pulse Width Trace Point, [ns]","Min Slew Rate [V/ns]","Min Slew Rate Limit, SRIN_dIVW_min, [V/ns]","Min Slew Rate Margin, [V/ns]","Min Slew Rate Trace Point, [ns]","Max Slew Rate [V/ns]","Max Slew Rate Limit, SRIN_dIVW_max, [V/ns]","Max Slew Rate Margin, [V/ns]","Max Slew Rate Trace Point, [ns]","Min Slew Rate (2) [V/ns]","Min Slew Rate (2) Limit, SRIN_dIVW_min, [V/ns]","Min Slew Rate (2) Margin, [V/ns]","Min Slew Rate (2) Trace Point, [ns]","Max Slew Rate (2) [V/ns]","Max Slew Rate (2) Limit, SRIN_dIVW_max, [V/ns]","Max Slew Rate (2) Margin, [V/ns]","Max Slew Rate (2) Trace Point, [ns]","Eye Mask Shape"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","    83"," 130.0"," 537.0"," 691.7","   6.0"," 102.5","  60.8","  54.8","39.197"," 198.2"," 156.6"," 150.6","37.115","  80.0"," 509.9"," 429.9","53.358"," 693.0"," 613.0"," 8.793","198.781","44.612","475.325","44.195"," 369.7","   242"," 128.2"," 116.2"," 9.209"," 3.773"," 1.000"," 2.773","37.115"," 6.659"," 9.000"," 2.341","36.282"," 3.514"," 0.775"," 2.739","44.612"," 7.016"," 9.000"," 1.984","17.539","Eye-Rectangle"
"DDR_DQ1","Pass","Write rank(1,1)","U1.H6","U2.F7","DDR_LDQS_P","    83"," 130.0"," 530.2"," 691.7","   6.0"," 105.5","  63.8","  57.8","28.369"," 197.5"," 155.9"," 149.9"," 2.545","  80.0"," 472.8"," 392.8","37.115"," 695.6"," 615.6"," 7.543","235.575","28.369","498.427","42.946"," 373.8","   242"," 132.2"," 120.2"," 7.960"," 3.964"," 1.000"," 2.964","27.952"," 7.286"," 9.000"," 1.714","41.696"," 3.956"," 0.798"," 3.158","43.362"," 7.360"," 9.000"," 1.640","42.113","Eye-Rectangle"
"DDR_DQ10","Pass","Write rank(1,1)","U1.U2","U2.C3","DDR_UDQS_P","    83"," 130.0"," 534.6"," 691.7","   6.0","  80.8","  39.1","  33.1","39.587"," 220.4"," 178.7"," 172.7","10.015","  80.0"," 512.1"," 432.1","24.177"," 696.8"," 616.8","17.929","175.608","39.587","505.455","47.917"," 374.6","   242"," 133.1"," 121.1","53.747"," 3.179"," 1.000"," 2.179","10.015"," 7.628"," 9.000"," 1.372","46.251"," 4.222"," 0.870"," 3.352","39.587"," 7.274"," 9.000"," 1.726","47.084","Eye-Rectangle"
"DDR_DQ11","Pass","Write rank(1,1)","U1.V5","U2.C7","DDR_UDQS_P","    83"," 130.0"," 528.3"," 691.7","   6.0","  89.1","  47.4","  41.4","23.344"," 219.8"," 178.1"," 172.1","32.923","  80.0"," 488.5"," 408.5","40.419"," 695.0"," 615.0","15.430","196.302","23.344","495.335","54.164"," 369.3","   242"," 127.7"," 115.7","40.419"," 4.040"," 1.000"," 3.040","32.923"," 7.444"," 9.000"," 1.556","52.914"," 4.470"," 0.918"," 3.552","40.419"," 7.399"," 9.000"," 1.601","53.331","Eye-Rectangle"
"DDR_DQ12","Pass","Write rank(1,1)","U1.W2","U2.C2","DDR_UDQS_P","    83"," 130.0"," 522.8"," 691.7","   6.0","  83.2","  41.5","  35.5","17.512"," 211.5"," 169.9"," 163.9","13.347","  80.0"," 516.8"," 436.8"," 6.683"," 699.2"," 619.2","39.170","181.840","17.512","518.641","22.094"," 368.4","   242"," 126.9"," 114.9","11.265"," 2.950"," 1.000"," 1.950","13.347"," 7.792"," 9.000"," 1.208"," 4.184"," 4.599"," 0.843"," 3.757","17.512"," 8.111"," 9.000"," 0.889"," 4.601","Eye-Rectangle"
"DDR_DQ13","Pass","Write rank(1,1)","U1.V6","U2.C8","DDR_UDQS_P","    83"," 130.0"," 535.0"," 691.7","   6.0","  84.7","  43.1","  37.1"," 5.017"," 216.3"," 174.6"," 168.6"," 2.935","  80.0"," 491.9"," 411.9","48.750"," 696.2"," 616.2"," 7.099","181.719"," 5.017","493.550","48.333"," 366.5","   242"," 124.9"," 112.9"," 5.017"," 3.297"," 1.000"," 2.297"," 2.935"," 7.758"," 9.000"," 1.242","52.914"," 4.446"," 0.860"," 3.587"," 5.017"," 7.818"," 9.000"," 1.182","53.331","Eye-Rectangle"
"DDR_DQ14","Pass","Write rank(1,1)","U1.Y1","U2.D3","DDR_UDQS_P","    83"," 130.0"," 523.0"," 691.7","   6.0","  66.8","  25.2","  19.2","24.177"," 223.0"," 181.3"," 175.3","47.084","  80.0"," 490.2"," 410.2","51.665"," 666.1"," 586.1","50.416","174.154","12.514","364.584"," 4.184"," 383.0","   242"," 141.4"," 129.4"," 3.768"," 3.093"," 1.000"," 2.093","47.084"," 6.381"," 9.000"," 2.619","33.756"," 4.433"," 0.945"," 3.488","27.509"," 6.693"," 9.000"," 2.307","34.589","Eye-Rectangle"
"DDR_DQ15","Pass","Write rank(1,1)","U1.W1","U2.D7","DDR_UDQS_P","    83"," 130.0"," 530.7"," 691.7","   6.0","  80.1","  38.4","  32.4","39.170"," 219.7"," 178.1"," 172.1","34.172","  80.0"," 510.4"," 430.4","30.424"," 690.5"," 610.5","53.331","177.098"," 2.935","476.506"," 9.598"," 366.0","   242"," 124.4"," 112.4","39.170"," 2.954"," 1.000"," 1.954","34.172"," 7.214"," 9.000"," 1.786","16.263"," 4.403"," 0.915"," 3.488","40.419"," 7.571"," 9.000"," 1.429","16.679","Eye-Rectangle"
"DDR_DQ2","Pass","Write rank(1,1)","U1.E3","U2.H3","DDR_LDQS_P","    83"," 130.0"," 525.9"," 691.7","   6.0","  94.1","  52.4","  46.4","48.360"," 208.5"," 166.8"," 160.8","37.948","  80.0"," 474.0"," 394.0","11.708"," 690.2"," 610.2","28.369","219.415","11.708","510.255","54.191"," 368.9","   242"," 127.3"," 115.3","11.708"," 3.948"," 1.000"," 2.948"," 1.712"," 7.363"," 9.000"," 1.637","53.358"," 4.012"," 0.835"," 3.178","49.610"," 7.390"," 9.000"," 1.610","18.372","Eye-Rectangle"
"DDR_DQ3","Pass","Write rank(1,1)","U1.F3","U2.H7","DDR_LDQS_P","    83"," 130.0"," 517.3"," 691.7","   6.0"," 100.1","  58.4","  52.4","12.958"," 203.5"," 161.8"," 155.8"," 5.044","  80.0"," 475.6"," 395.6"," 7.960"," 693.2"," 613.2","39.614","229.655","12.958","542.368","21.288"," 365.7","   242"," 124.1"," 112.1"," 7.960"," 4.125"," 1.000"," 3.125","12.541"," 7.320"," 9.000"," 1.680"," 4.211"," 4.089"," 0.825"," 3.264","12.958"," 7.350"," 9.000"," 1.650"," 4.628","Eye-Rectangle"
"DDR_DQ4","Pass","Write rank(1,1)","U1.F1","U2.H2","DDR_LDQS_P","    83"," 130.0"," 522.4"," 691.7","   6.0","  95.0","  53.4","  47.4"," 9.626"," 210.1"," 168.4"," 162.4","42.946","  80.0"," 488.6"," 408.6"," 7.127"," 688.4"," 608.4","24.204","222.980","53.775","519.381","25.037"," 366.3","   242"," 124.8"," 112.8"," 7.127"," 3.984"," 1.000"," 2.984","42.946"," 6.661"," 9.000"," 2.339","50.026"," 3.976"," 0.854"," 3.122","53.775"," 6.861"," 9.000"," 2.139","50.443","Eye-Rectangle"
"DDR_DQ5","Pass","Write rank(1,1)","U1.G5","U2.H8","DDR_LDQS_P","    83"," 130.0"," 540.1"," 691.7","   6.0"," 115.8","  74.1","  68.1","41.696"," 196.2"," 154.5"," 148.5","42.113","  80.0"," 462.0"," 382.0","47.111"," 692.7"," 612.7","20.871","202.244","32.117","445.592","10.459"," 365.0","   242"," 123.4"," 111.4","47.111"," 4.185"," 1.000"," 3.185","46.694"," 7.270"," 9.000"," 1.730","31.284"," 3.742"," 0.837"," 2.905","47.111"," 7.141"," 9.000"," 1.859","26.703","Eye-Rectangle"
"DDR_DQ6","Pass","Write rank(1,1)","U1.G2","U2.J3","DDR_LDQS_P","    83"," 130.0"," 524.6"," 691.7","   6.0"," 104.9","  63.3","  57.3"," 5.461"," 204.9"," 163.2"," 157.2","24.204","  80.0"," 472.1"," 392.1"," 8.793"," 692.8"," 612.8","39.197","230.299","45.861","519.810","45.445"," 365.9","   242"," 124.3"," 112.3"," 8.793"," 4.339"," 1.000"," 3.339","24.204"," 6.870"," 9.000"," 2.130","52.942"," 4.158"," 0.920"," 3.237","45.861"," 6.890"," 9.000"," 2.110","23.787","Eye-Rectangle"
"DDR_DQ7","Pass","Write rank(1,1)","U1.F2","U2.J7","DDR_LDQS_P","    83"," 130.0"," 543.0"," 691.7","   6.0","  91.6","  50.0","  44.0","36.282"," 219.6"," 178.0"," 172.0","17.956","  80.0"," 484.4"," 404.4","41.696"," 682.6"," 602.6","17.123","218.101","10.042","487.812","40.863"," 370.4","   242"," 128.9"," 116.9","20.871"," 4.164"," 1.000"," 3.164"," 9.626"," 7.109"," 9.000"," 1.891","51.692"," 4.038"," 0.833"," 3.206","10.042"," 7.105"," 9.000"," 1.895","52.109","Eye-Rectangle"
"DDR_DQ8","Pass","Write rank(1,1)","U1.U1","U2.A3","DDR_UDQS_P","    83"," 130.0"," 519.8"," 691.7","   6.0","  75.8","  34.2","  28.2","13.347"," 221.4"," 179.7"," 173.7","23.760","  80.0"," 511.4"," 431.4","22.510"," 677.6"," 597.6","35.005","153.848","17.929","397.943","38.754"," 366.9","   242"," 125.4"," 113.4","48.333"," 3.005"," 1.000"," 2.005","23.760"," 7.315"," 9.000"," 1.685","37.504"," 4.086"," 0.601"," 3.485","24.177"," 7.065"," 9.000"," 1.935","45.834","Eye-Rectangle"
"DDR_DQ9","Pass","Write rank(1,1)","U1.U3","U2.B8","DDR_UDQS_P","    83"," 130.0"," 526.5"," 691.7","   6.0","  84.0","  42.3","  36.3"," 4.184"," 207.5"," 165.9"," 159.9","34.589","  80.0"," 502.5"," 422.5","36.671"," 697.1"," 617.1","54.997","181.237"," 4.184","519.784","28.758"," 369.9","   242"," 128.3"," 116.3","36.671"," 2.840"," 1.000"," 1.840","34.589"," 7.504"," 9.000"," 1.496","20.011"," 4.143"," 0.585"," 3.558"," 9.598"," 7.694"," 9.000"," 1.306","20.428","Eye-Rectangle"
"DDR_LDM","Pass","Write rank(1,1)","U1.H5","U2.E7","DDR_LDQS_P","    83"," 130.0"," 861.3"," 691.7","   6.0","  90.8","  49.2","  43.2","53.775"," 139.2","  97.5","  91.5","12.958","  80.0"," 506.6"," 426.6"," 4.211"," 178.0","  98.0","27.536","405.492","22.954","47.500","45.028"," 325.4","   242","  83.8","  71.8","31.284"," 1.238"," 1.000"," 0.238","23.787"," 4.602"," 9.000"," 4.398"," 8.793"," 0.982"," 0.297"," 0.685","13.791"," 5.729"," 9.000"," 3.271","46.278","Eye-Rectangle"
"DDR_UDM","Pass","Write rank(1,1)","U1.W5","U2.E2","DDR_UDQS_P","    83"," 130.0"," 866.2"," 691.7","   6.0","  73.9","  32.3","  26.3","40.003"," 172.1"," 130.5"," 124.5","20.844","  80.0"," 508.0"," 428.0","35.838"," 178.5","  98.5"," 6.266","412.012","51.249","37.206"," 3.768"," 300.2","   242","  58.6","  46.6","32.090"," 1.678"," 1.000"," 0.678","52.082"," 6.104"," 9.000"," 2.896","31.257"," 1.189"," 0.339"," 0.849","30.841"," 6.107"," 9.000"," 2.893","31.674","Eye-Rectangle"
